# Plutarco — Vite e Moralia, cronologia relativa poco determinabile
# id | genere | opere | titolo italiano | titolo originale

tlg0007.tlg001 | biografia | Vita di Teseo | Θησεύς
tlg0007.tlg002 | biografia | Vita di Romolo | Ῥωμύλος
tlg0007.tlg003 | biografia | Confronto fra Teseo e Romolo | Θησέως καὶ Ῥωμύλου σύγκρισις
tlg0007.tlg004 | biografia | Vita di Licurgo | Λυκοῦργος
tlg0007.tlg005 | biografia | Vita di Numa | Νομᾶς
tlg0007.tlg006 | biografia | Confronto fra Licurgo e Numa | Λυκούργου καὶ Νομᾶ σύγκρισις
tlg0007.tlg007 | biografia | Vita di Solone | Σόλων
tlg0007.tlg008 | biografia | Vita di Publicola | Ποπλικόλας
tlg0007.tlg009 | biografia | Confronto fra Solone e Publicola | Σόλωνος καὶ Ποπλικόλα σύγκρισις
tlg0007.tlg010 | biografia | Vita di Temistocle | Θεμιστοκλῆς
tlg0007.tlg011 | biografia | Vita di Camillo | Κάμιλλος
tlg0007.tlg012 | biografia | Vita di Pericle | Περικλῆς
tlg0007.tlg013 | biografia | Vita di Fabio Massimo | Φάβιος Μάξιμος
tlg0007.tlg014 | biografia | Confronto fra Pericle e Fabio Massimo | Περικλέους καὶ Φαβίου σύγκρισις
tlg0007.tlg015 | biografia | Vita di Alcibiade | Ἀλκιβιάδης
tlg0007.tlg016 | biografia | Vita di Coriolano | Γάϊος Μάρκιος
tlg0007.tlg017 | biografia | Confronto fra Alcibiade e Coriolano | Ἀλκιβιάδου καὶ Κοριολὰνου σύγκρισις
tlg0007.tlg018 | biografia | Vita di Timoleonte | Τιμολέων
tlg0007.tlg019 | biografia | Vita di Emilio Paolo | Αἰμίλιος Παῦλλος
tlg0007.tlg020 | biografia | Confronto fra Timoleonte ed Emilio Paolo | Σύγκρισις Τιμολέοντος καὶ Αἰμιλίου
tlg0007.tlg021 | biografia | Vita di Pelopida | Πελοπίδας
tlg0007.tlg022 | biografia | Vita di Marcello | Μάρκελλος
tlg0007.tlg023 | biografia | Confronto fra Pelopida e Marcello | Πελοπίδου καὶ Μαρκέλλου σύγκρισις
tlg0007.tlg024 | biografia | Vita di Aristide | Ἀριστείδης
tlg0007.tlg025 | biografia | Vita di Marco Catone | Μάρκος Κάτων
tlg0007.tlg026 | biografia | Confronto fra Aristide e Catone | Ἀριστείδου καὶ Κάτωνος σύγκρισις
tlg0007.tlg027 | biografia | Vita di Filopemene | Φιλοποίμην
tlg0007.tlg028 | biografia | Vita di Tito Flaminino | Τίτος Φλαμινῖνος
tlg0007.tlg029 | biografia | Confronto fra Filopemene e Tito Flaminino | Φιλοποίμενος καὶ Τίτου σύγκρισις
